Genome,Genome Size,DNA,Rolling Circle,Penelope,LINE,SINE,LTR,Simple Repeat (Other),Unclassified,Masked,Unmasked
Latheticus_oryzae_GCA_030157265.1,157973464,11.65,0.0,41.1,3.41,0.0,0.78,8.97,34.09,37.19,62.81
Leistus_spinibarbis_GCA_933228885.1,227183333,8.6,7.96,0.6,4.3,0.18,5.82,13.35,59.17,35.47,64.53
Leptodirus_hochenwartii_GCA_947310635.1,470431650,8.48,0.17,2.35,74.1,0.0,2.46,1.96,10.48,62.45,37.55
Liopterus_haemorrhoidalis_GCA_963971575.1,1011085581,25.85,2.65,1.25,16.76,0.02,5.53,2.89,45.05,74.52,25.48
Lochmaea_crataegi_GCA_947563755.1_genomic,859650374,26.34,0.57,1.57,21.41,0.19,16.43,4.82,28.68,70.27,29.73
Malthinus_seriepunctatus_GCA_963924605.1,337414013,12.39,4.13,0.25,6.23,0.0,5.09,6.72,65.2,43.2,56.8
Malthodes_minimus_GCA_964263285.1,568308817,25.32,0.52,1.53,12.31,0.0,10.12,5.18,45.02,57.55,42.45
Megalocaria_dilatata_GCA_034642435.1_genomic,711862877,36.49,0.82,10.52,16.39,0.05,5.38,0.63,29.72,72.37,27.63
Melolontha_melolontha_GCA_935421215.2,1646642359,55.64,0.52,5.01,8.53,0.05,4.87,2.39,23.0,76.95,23.05
Monochamus_alternatus_GCA_037114965.1,786125991,36.99,0.43,1.38,12.04,0.0,5.5,2.14,41.53,65.95,34.05
Nicrophorus_investigator_GCA_963457615.1,187150796,12.95,0.0,0.0,17.24,0.0,1.35,7.77,60.7,13.03,86.97
Octodonta_nipae_GCA_034190945.1_genomic,1260278144,20.98,3.83,5.28,12.53,0.0,20.58,5.29,31.51,68.28,31.72
Ocypus_olens_GCA_910593695.2_genomic,1070483798,24.09,2.29,1.04,10.43,0.0,2.96,22.06,37.13,58.92,41.08
Onthophagus_taurus_GCA_036711975.1,270602675,31.44,0.01,2.5,17.9,0.0,7.75,19.38,21.01,42.05,57.95
Othius_punctulatus_GCA_951805005.1,843654085,26.29,0.02,1.68,13.43,0.04,4.5,7.52,46.52,56.74,43.26
Oxystoma_pomonae_GCA_963921995.1,1174047213,18.4,0.36,2.85,11.53,0.09,4.37,4.48,57.92,75.55,24.45
Pediacus_dermestoides_GCA_963942485.1,220092565,19.75,3.64,0.0,3.62,0.0,2.85,12.34,57.8,32.85,67.15
Phosphuga_atrata_GCA_944588485.1,1136848197,22.54,1.47,1.75,37.37,0.0,3.52,11.86,21.49,68.14,31.86
Plagiodera_versicolora_GCA_035321685.1,221642368,20.64,1.19,0.35,18.05,0.0,9.65,4.77,45.34,37.45,62.55
Podabrus_alpinus_GCA_932274525.1,743063496,18.11,7.55,0.9,15.11,0.0,14.03,2.36,41.94,67.46,32.54
Poecilus_cupreus_GCA_963942605.1,586659292,9.11,0.86,1.19,11.58,0.0,9.74,4.5,63.03,60.96,39.04
Polydrusus_cervinus_GCA_935413205.1,713293779,22.07,0.08,2.63,13.37,0.01,4.9,2.71,54.24,68.67,31.33
Polydrusus_tereticollis_GCA_963920685.1,1384508646,46.74,0.03,2.22,16.18,0.0,9.67,1.25,23.91,72.18,27.82
Pseudeuparius_sepicola_GCA_963920635.1,767956561,23.44,1.13,2.45,6.66,0.13,8.03,3.19,54.98,69.87,30.13
Pterostichus_madidus_GCA_911728475.2,704920005,16.33,0.18,1.19,7.3,0.1,5.41,3.47,66.01,66.25,33.75
Pterostichus_niger_GCA_947425015.1,654122297,16.98,2.4,0.3,4.75,0.04,5.66,2.23,67.64,56.62,43.38
Rhagonycha_fulva_GCA_905340355.1,424519277,10.06,0.96,0.49,11.16,0.0,34.71,3.38,39.25,55.01,44.99
Schizotus_pectinicornis_GCA_951805265.1_genomic,168665241,10.69,1.25,0.0,7.21,0.0,10.85,5.83,64.17,20.96,79.04
Serrognathus_titanus_GCA_039766575.1,374301628,29.1,0.03,2.36,10.55,0.0,7.51,5.86,44.59,40.95,59.05
Tachinus_rufipes_GCA_963932245.1,1129950223,17.04,0.04,2.24,33.33,0.0,6.58,14.47,26.3,47.88,52.12
Taphrorychus_bicolor_GCA_951812265.1,560650972,15.72,0.11,2.68,13.56,0.0,14.39,8.68,44.87,60.77,39.23
Tillus_elongatus_GCA_964006375.1,1700718323,20.36,0.31,3.79,23.77,0.13,7.52,5.15,38.97,78.53,21.47
Tribolium_freemani_GCA_939628115.1,261999990,31.79,0.67,0.28,12.16,0.0,1.69,6.12,47.3,51.86,48.14
Trypoxylus_dichotomus_GCA_023509865.1_genomic,606798054,59.74,0.0,3.07,14.9,0.0,2.34,0.44,19.52,56.78,43.22
Xestobium_rufovillosum_GCA_963966045.2,472830934,22.22,1.47,3.07,19.2,0.0,9.64,1.42,42.98,65.42,34.58
